Date,Score Type,Visitor Team,VisitorPts,Home Team,HomePts,OT?,Notes
10 29 2013,Box Score,Orlando Magic,87,Indiana Pacers,97,,
10 29 2013,Box Score,Los Angeles Clippers,103,Los Angeles Lakers,116,,
10 29 2013,Box Score,Chicago Bulls,95,Miami Heat,107,,
10 30 2013,Box Score,Brooklyn Nets,94,Cleveland Cavaliers,98,,
10 30 2013,Box Score,Atlanta Hawks,109,Dallas Mavericks,118,,
10 30 2013,Box Score,Washington Wizards,102,Detroit Pistons,113,,
10 30 2013,Box Score,Los Angeles Lakers,94,Golden State Warriors,125,,
10 30 2013,Box Score,Charlotte Bobcats,83,Houston Rockets,96,,
10 30 2013,Box Score,Orlando Magic,115,Minnesota Timberwolves,120,OT,
10 30 2013,Box Score,Indiana Pacers,95,New Orleans Pelicans,90,,
10 30 2013,Box Score,Milwaukee Bucks,83,New York Knicks,90,,
10 30 2013,Box Score,Miami Heat,110,Philadelphia 76ers,114,,
10 30 2013,Box Score,Portland Trail Blazers,91,Phoenix Suns,104,,
10 30 2013,Box Score,Denver Nuggets,88,Sacramento Kings,90,,
10 30 2013,Box Score,Memphis Grizzlies,94,San Antonio Spurs,101,,
10 30 2013,Box Score,Boston Celtics,87,Toronto Raptors,93,,
10 30 2013,Box Score,Oklahoma City Thunder,101,Utah Jazz,98,,
10 31 2013,Box Score,New York Knicks,81,Chicago Bulls,82,,
10 31 2013,Box Score,Golden State Warriors,115,Los Angeles Clippers,126,,
11 1 2013,Box Score,Toronto Raptors,95,Atlanta Hawks,102,,
11 1 2013,Box Score,Milwaukee Bucks,105,Boston Celtics,98,,
11 1 2013,Box Score,Miami Heat,100,Brooklyn Nets,101,,
11 1 2013,Box Score,Cleveland Cavaliers,84,Charlotte Bobcats,90,,
11 1 2013,Box Score,Portland Trail Blazers,113,Denver Nuggets,98,,
11 1 2013,Box Score,Dallas Mavericks,105,Houston Rockets,113,,
11 1 2013,Box Score,San Antonio Spurs,91,Los Angeles Lakers,85,,
11 1 2013,Box Score,Detroit Pistons,108,Memphis Grizzlies,111,OT,
11 1 2013,Box Score,Oklahoma City Thunder,81,Minnesota Timberwolves,100,,
11 1 2013,Box Score,New Orleans Pelicans,90,Orlando Magic,110,,
11 1 2013,Box Score,Utah Jazz,84,Phoenix Suns,87,,
11 1 2013,Box Score,Los Angeles Clippers,110,Sacramento Kings,101,,
11 1 2013,Box Score,Philadelphia 76ers,109,Washington Wizards,102,,
11 2 2013,Box Score,Memphis Grizzlies,99,Dallas Mavericks,111,,
11 2 2013,Box Score,Sacramento Kings,87,Golden State Warriors,98,,
11 2 2013,Box Score,Cleveland Cavaliers,74,Indiana Pacers,89,,
11 2 2013,Box Score,Toronto Raptors,97,Milwaukee Bucks,90,,
11 2 2013,Box Score,Charlotte Bobcats,84,New Orleans Pelicans,105,,
11 2 2013,Box Score,Chicago Bulls,104,Philadelphia 76ers,107,,
11 2 2013,Box Score,San Antonio Spurs,105,Portland Trail Blazers,115,,
11 2 2013,Box Score,Houston Rockets,104,Utah Jazz,93,,
11 3 2013,Box Score,Boston Celtics,77,Detroit Pistons,87,,
11 3 2013,Box Score,Atlanta Hawks,103,Los Angeles Lakers,105,,
11 3 2013,Box Score,Washington Wizards,93,Miami Heat,103,,
11 3 2013,Box Score,Minnesota Timberwolves,109,New York Knicks,100,,
11 3 2013,Box Score,Phoenix Suns,96,Oklahoma City Thunder,103,,
11 3 2013,Box Score,Brooklyn Nets,86,Orlando Magic,107,,
11 4 2013,Box Score,Minnesota Timberwolves,92,Cleveland Cavaliers,93,,
11 4 2013,Box Score,Houston Rockets,118,Los Angeles Clippers,137,,
11 4 2013,Box Score,Boston Celtics,88,Memphis Grizzlies,95,,
11 4 2013,Box Score,Golden State Warriors,110,Philadelphia 76ers,90,,
11 5 2013,Box Score,Utah Jazz,88,Brooklyn Nets,104,,
11 5 2013,Box Score,Los Angeles Lakers,104,Dallas Mavericks,123,,
11 5 2013,Box Score,San Antonio Spurs,102,Denver Nuggets,94,,
11 5 2013,Box Score,Indiana Pacers,99,Detroit Pistons,91,,
11 5 2013,Box Score,Phoenix Suns,104,New Orleans Pelicans,98,,
11 5 2013,Box Score,Charlotte Bobcats,102,New York Knicks,97,,
11 5 2013,Box Score,Houston Rockets,116,Portland Trail Blazers,101,,
11 5 2013,Box Score,Atlanta Hawks,105,Sacramento Kings,100,,
11 5 2013,Box Score,Miami Heat,104,Toronto Raptors,95,,
11 6 2013,Box Score,Utah Jazz,87,Boston Celtics,97,,
11 6 2013,Box Score,Toronto Raptors,90,Charlotte Bobcats,92,,
11 6 2013,Box Score,Chicago Bulls,80,Indiana Pacers,97,,
11 6 2013,Box Score,New Orleans Pelicans,99,Memphis Grizzlies,84,,
