,Unnamed: 0,Direction,District,Elevator,Floor,Garden,Id,Layout,Price,Region,Renovation,Size,Year
0,0,东西,灯市口,无电梯,6,锡拉胡同21号院,1.01E+11,3室1厅,780,东城,精装,75,1988
1,1,南北,东单,无电梯,6,东华门大街,1.01E+11,2室1厅,705,东城,精装,60,1988
2,2,南西,崇文门,有电梯,16,新世界中心,1.01E+11,3室1厅,1400,东城,其他,210,1996
3,3,南,崇文门,有电梯,7,兴隆都市馨园,1.01E+11,1室1厅,420,东城,精装,39,2004
4,4,南,陶然亭,有电梯,19,中海紫御公馆,1.01E+11,2室2厅,998,东城,精装,90,2010
5,5,南北,广渠门,有电梯,18,幸福家园二期,1.01E+11,2室1厅,1180,东城,其他,111,2003
6,6,南,西罗园,无电梯,6,西革新里110号院,1.01E+11,1室1厅,319,东城,其他,42,1992
7,7,南,西罗园,有电梯,16,建予园,1.01E+11,2室1厅,640,东城,其他,105,1999
8,8,南北,东花市,有电梯,9,富贵园一区,1.01E+11,3室2厅,1780,东城,精装,161,2003
9,9,东北,东直门,有电梯,25,万国城MOMA,1.01E+11,2室2厅,1300,东城,精装,127,2002
10,10,南,工体,无电梯,5,十字坡东里,1.01E+11,1室1厅,405,东城,精装,37,1986
11,11,南,地安门,无电梯,5,帽儿胡同45号院,1.01E+11,2室1厅,700,东城,其他,50,1985
12,12,西,广渠门,有电梯,19,金桥国际,1.01E+11,1室1厅,462,东城,精装,54,2004
13,13,西,崇文门,有电梯,18,太华公寓,1.01E+11,1室0厅,518,东城,精装,64,2000
14,14,西南,菜户营,有电梯,23,信德园,1.01E+11,3室1厅,960,西城,其他,146,2002
15,15,东,木樨地,无电梯,4,西便门外大街,1.01E+11,2室0厅,457,西城,简装,50,1957
16,16,西北,马甸,有电梯,18,双旗杆东里,1.01E+11,2室1厅,610,西城,简装,58,1986
17,17,北,马连道,有电梯,18,第三区,1.01E+11,2房间2卫,340,西城,精装,33,2011
18,18,西南,六铺炕,有电梯,17,六铺炕二区,1.01E+11,3室1厅,1120,西城,其他,78,1990
19,19,北,广安门,有电梯,26,荣丰2008,1.01E+11,1室0厅,320,西城,精装,28,2006
20,20,南北,牛街,有电梯,12,平原里小区,1.01E+11,2室1厅,596,西城,简装,59,1999
21,21,南北,木樨地,有电梯,18,真武庙六里,1.01E+11,2室1厅,888,西城,精装,78,1988
22,22,西北,右安门内,无电梯,7,右安门内大街,1.01E+11,1室1厅,405,西城,其他,45,1991
23,23,南北,西直门,无电梯,6,玉桃园二区,1.01E+11,2室1厅,650,西城,简装,60,1997
24,24,南北,马连道,无电梯,7,红莲南里,1.01E+11,2室1厅,470,西城,精装,61,1992
25,25,南,牛街,无电梯,6,白广路6号院,1.01E+11,3室0厅,635,西城,简装,84,1955
26,26,西,亚运村小营,有电梯,7,育慧里一区,1.01E+11,1室0厅,343,朝阳,精装,52,2001
27,27,南北,望京,有电梯,10,大西洋新城A区,1.01E+11,2室2厅,835,朝阳,精装,86,1999
28,28,东西,团结湖,无电梯,6,团结湖路,1.01E+11,2室1厅,430,朝阳,精装,65,1980
29,29,南北,三元桥,有电梯,12,尚家楼48号院,1.01E+11,2室1厅,610,朝阳,精装,75,1998
30,30,南北,望京,无电梯,6,望京西园一区,1.01E+11,3室2厅,710,朝阳,精装,115,1997
31,31,南西南,亚运村,有电梯,20,安慧里四区,1.01E+11,2室2厅,545,朝阳,精装,71,1990
32,32,南北,朝阳公园,有电梯,18,泰华滨河苑,1.01E+11,2室1厅,670,朝阳,精装,105,2005
33,33,南北,望京,有电梯,17,北京香颂,1.01E+11,3室2厅,1200,朝阳,简装,146,2009
34,34,南北,豆各庄,无电梯,6,京城雅居,1.01E+11,3室2厅,1295,朝阳,精装,259,2004
35,35,西南西北,亚运村小营,有电梯,19,一瓶四和院,1.01E+11,5室2厅,1500,朝阳,精装,151,2009
36,36,西南,四惠,有电梯,32,东恒时代一期,1.01E+11,3室2厅,930,朝阳,精装,142,2003
37,37,东西,北苑,有电梯,11,润泽悦溪,1.01E+11,2室1厅,665,朝阳,简装,86,2010
38,38,东西,潘家园,无电梯,6,潘家园小区,1.01E+11,3室1厅,490,朝阳,简装,83,1994
39,39,西南,十里堡,有电梯,27,东恒时代三期,1.01E+11,2室2厅,720,朝阳,精装,108,2008
40,40,南北,太阳宫,有电梯,25,红玺台,1.01E+11,3室2厅,2400,朝阳,精装,161,2011
41,41,西,双井,有电梯,22,九龙花园,1.01E+11,2室2厅,720,朝阳,其他,109,2001
42,42,南北,高碑店,无电梯,6,兴隆家园,1.01E+11,3室1厅,696,朝阳,精装,116,2000
43,43,南北,北苑,有电梯,14,北苑家园望春园,1.01E+11,2室1厅,680,朝阳,精装,108,2006
44,44,西,四惠,有电梯,14,远洋天地三期,1.01E+11,1室1厅,580,朝阳,精装,73,2004
45,45,东南,甜水园,有电梯,22,华阳家园,1.01E+11,2室1厅,865,朝阳,精装,115,2002
46,46,南北,华威桥,有电梯,18,双龙南里,1.01E+11,3室1厅,409,朝阳,简装,72,1993
47,47,南北,亚运村,有电梯,13,华馨公寓,1.01E+11,3室2厅,1350,朝阳,简装,176,1999
48,48,南,亚运村,有电梯,17,名人公寓,1.01E+11,4室2厅,2000,朝阳,精装,379,2002
49,49,东北,双井,有电梯,22,双花园南里一区,1.01E+11,3室1厅,790,朝阳,精装,138,2000
50,50,南,望京,有电梯,28,融科橄榄城二期,1.01E+11,2室1厅,1000,朝阳,精装,95,2007
51,51,南北,芍药居,无电梯,7,芍药居2号院,1.01E+11,3室2厅,960,朝阳,精装,137,1999
52,52,东,惠新西街,有电梯,25,罗马花园,1.01E+11,3室1厅,980,朝阳,精装,164,1995
53,53,南北,四惠,无电梯,5,八里庄东里北巷,1.01E+11,3室1厅,392,朝阳,简装,68,1981
54,54,南北,豆各庄,无电梯,3,扬州水乡,1.01E+11,3室2厅,820,朝阳,简装,164,2004
55,55,西南东北,双井,有电梯,22,双花园南里二区,1.01E+11,3室1厅,849,朝阳,精装,116,2002
56,56,西南,学院路,有电梯,21,学知轩,1.01E+11,2室1厅,600,海淀,精装,89,2001
57,57,南,安宁庄,有电梯,11,上林溪,1.01E+11,1室0厅,380,海淀,精装,44,2011
58,58,东,万柳,有电梯,10,万泉新新商务花园,1.01E+11,1室1厅,750,海淀,精装,58,2003
59,59,南北,田村,有电梯,9,碧森里,1.01E+11,3室2厅,1020,海淀,简装,132,2004
60,60,西,北太平庄,有电梯,16,庚坊国际,1.01E+11,1室0厅,360,海淀,简装,47,2005
61,61,南北,世纪城,有电梯,7,远大园四区,1.01E+11,3室2厅,1900,海淀,简装,153,2000
62,62,南北,公主坟,无电梯,5,翠微路2号院,1.01E+11,2室1厅,476,海淀,简装,47,1980
63,63,东西,军博,无电梯,6,北蜂窝103号院,1.01E+11,2室1厅,446,海淀,其他,57,1986
64,64,西北,紫竹桥,有电梯,18,北洼路28号院,1.01E+11,4室2厅,1239,海淀,简装,177,1996
65,65,南北,玉泉路,有电梯,5,长安山麓,1.01E+11,3室3厅,2000,海淀,其他,179,2012
66,66,东西,定慧寺,无电梯,5,永安东里,1.01E+11,2室1厅,550,海淀,简装,79,1998
67,67,南北,清河,有电梯,9,金隅美和园,1.01E+11,2室1厅,560,海淀,精装,82,2008
68,68,西南,牡丹园,有电梯,26,中鑫嘉园,1.01E+11,1室1厅,639,海淀,精装,78,2004
69,69,南北,颐和园,无电梯,6,骚子营,1.01E+11,3室1厅,550,海淀,精装,68,1987
70,70,南北,五棵松,无电梯,6,六建,1.01E+11,3室1厅,700,海淀,简装,82,1992
71,71,南北,四季青,无电梯,6,美丽西园,1.01E+11,2室1厅,740,海淀,精装,93,2002
72,72,南,万寿路,无电梯,5,万寿路1号院,1.01E+11,2室1厅,445,海淀,精装,55,1978
73,73,南北,上地,无电梯,5,上地东里,1.01E+11,3室2厅,1500,海淀,其他,164,1996
74,74,南北,海淀北部新区,有电梯,9,正源尚峰尚水,1.01E+11,3室2厅,795,海淀,精装,131,2012
75,75,南北,五道口,无电梯,6,东王庄,1.01E+11,3室1厅,835,海淀,精装,90,1997
76,76,东西北,紫竹桥,有电梯,18,北洼东里,1.01E+11,3室2厅,839,海淀,精装,98,1999
77,77,南北,田村,无电梯,6,田村39号院,1.01E+11,2室1厅,490,海淀,简装,72,1996
78,78,南,公主坟,有电梯,18,翠微南里,1.01E+11,2室1厅,720,海淀,简装,81,1990
79,79,南北,西北旺,有电梯,7,西山公馆,1.01E+11,3室1厅,1250,海淀,精装,150,2010
80,80,西北,西二旗,有电梯,18,铭科苑,1.01E+11,3室1厅,560,海淀,其他,114,1999
